Name of Person or Organization;Date of Gift;Value of Gift
AMERICAN CANCER SOCIETY;08.06.2008;$1,000
AMERICAN CANCER SOCIETY;09.05.2008;$50
AMERICAN CANCER SOCIETY;09.05.2008;$50
AMERICAN CANCER SOCIETY;09.05.2008;$50
AMERICAN CANCER SOCIETY;09.05.2008;$100
AMERICAN CANCER SOCIETY;09.05.2008;$100
AMERICAN CANCER SOCIETY;09.05.2008;$100
AMERICAN CANCER SOCIETY;09.05.2008;$100
AMERICAN CANCER SOCIETY OF PUTNAM;4/25/2008;$1,610
AMERICAN CANCER SOCIETY OF PUTNAM;5/19/2008;$150
AMERICAN CANCER SOCIETY OF PUTNAM;08.01.2008;$250
AMERICAN CANCER SOCIETY OF PUTNAM;09.05.2008;$100
AMERICAN CANCER SOCIETY-PA;02.04.2008;$100
AMERICAN CANCER SOCIETY-PA;3/17/2008;$50
AMERICAN CANCER SOCIETY-PA;3/17/2008;$365
AMERICAN CIVIL LIBERTIES UNION;9/21/2007;$250
AMERICAN COMMITTEE FOR SHAARE ZEDEK;02.04.2008;$800
AMERICAN DIABETES ASSOCIATION;11/15/2007;$100
AMERICAN DIABETES ASSOCIATION;12.10.2007;$50
AMERICAN DIABETES ASSOCIATION;3/17/2008;$50
AMERICAN DIABETES ASSOCIATION;05.07.2008;$100
AMERICAN DIABETES ASSOCIATION;7/23/2008;$300
AMERICAN DIABETES ASSOCIATION;09.05.2008;$50
AMERICAN FORESTS;3/17/2008;$250
AMERICAN FOUNDATION FOR;7/23/2008;$200
AMERICAN FOUNDATION FOR AIDS RESEARCH;05.07.2008;$200
AMERICAN FRIENDS OF MEIR PANIM;10.05.2007;$100
AMERICAN FRIENDS OF MEIR PANIM;12/19/2007;$100
AMERICAN FRIENDS OF SANHEDRIA JERUSALEM;12/19/2007;$100
AMERICAN FRIENDS OF SANHEDRIA JERUSALEM;01.11.2008;$100
AMERICAN FRIENDS OF THE HEBREW;10/24/2007;$2,000
AMERICAN FRIENDS OF YAD ELIZER;7/16/2008;$118
AMERICAN FUND FOR CHARITIES;11/15/2007;$750
AMERICAN HEART ASSOCIATION;9/21/2007;$75
AMERICAN HEART ASSOCIATION;10.03.2007;$50
AMERICAN HEART ASSOCIATION;10.05.2007;$40
AMERICAN HEART ASSOCIATION;10.05.2007;$50
AMERICAN HEART ASSOCIATION;10.05.2007;$50
AMERICAN HEART ASSOCIATION;10.05.2007;$325
AMERICAN HEART ASSOCIATION;10/24/2007;$150
AMERICAN HEART ASSOCIATION;10/24/2007;$900
AMERICAN HEART ASSOCIATION;11/15/2007;$100
AMERICAN HEART ASSOCIATION;11/15/2007;$100
AMERICAN HEART ASSOCIATION;11/15/2007;$551
AMERICAN HEART ASSOCIATION;12/19/2007;$75
AMERICAN HEART ASSOCIATION;12/19/2007;$150
AMERICAN HEART ASSOCIATION;12/19/2007;$1,200
AMERICAN HEART ASSOCIATION;12/19/2007;$4,475
AMERICAN HEART ASSOCIATION;02.04.2008;$100
AMERICAN HEART ASSOCIATION;03.03.2008;$550
AMERICAN HEART ASSOCIATION;3/17/2008;$150
AMERICAN HEART ASSOCIATION;05.01.2008;$100
AMERICAN HEART ASSOCIATION;05.07.2008;$200
AMERICAN HEART ASSOCIATION;07.02.2008;$75
AMERICAN HEART ASSOCIATION;07.02.2008;$100
AMERICAN HEART ASSOCIATION;07.02.2008;$150
AMERICAN HEART ASSOCIATION;7/16/2008;$100
AMERICAN HEART ASSOCIATION;7/23/2008;$50
AMERICAN HEART ASSOCIATION;7/23/2008;$100
AMERICAN HEART ASSOCIATION;08.05.2008;$50
AMERICAN HEART ASSOCIATION;08.05.2008;$100
AMERICAN HEART ASSOCIATION;08.05.2008;$150
AMERICAN HEART ASSOCIATION;09.05.2008;$50
AMERICAN HEART ASSOCIATION;09.05.2008;$55
AMERICAN HEART ASSOCIATION;09.05.2008;$275
AMERICAN HEART ASSOCIATION-NY;10.05.2007;$150
AMERICAN HEART ASSOCIATION-NY;05.01.2008;$105
AMERICAN HEART ASSOCIATION-NY;09.05.2008;$925
AMERICAN JEWISH WORLD SERVICE;02.04.2008;$500
AMERICAN JEWISH WORLD SERVICE;7/16/2008;$200
AMERICAN LIVER FOUNDATION;10/24/2007;$400
AMERICAN LIVER FOUNDATION;7/16/2008;$50
AMERICAN LUNG ASSOCIATION;10/24/2007;$1,000
AMERICAN LUNG ASSOCIATION OF CALIFORNIA;7/16/2008;$300
AMERICAN LUNG ASSOCIATION OF MAINE;12.04.2007;$1,000
AMERICAN MUSEUM OF NAT HIST;05.01.2008;$450
AMERICAN MUSEUM OF NAT HIST;05.07.2008;$315
AMERICAN NATIONAL REDCROSS;5/20/2008;$500
AMERICAN RED CROSS;10/24/2007;$250
AMERICAN RED CROSS;12/13/2007;$200
AMERICAN RED CROSS;02.04.2008;$250
AMERICAN RED CROSS;3/17/2008;$50
AMERICAN RED CROSS;4/25/2008;$100
AMERICAN RED CROSS;05.01.2008;$200
AMERICAN RED CROSS;05.01.2008;$200
AMERICAN RED CROSS;05.07.2008;$100
AMERICAN RED CROSS;09.05.2008;$1,650
AMERICAN RED CROSS;09.05.2008;$2,000
AMERICAN RED CROSS IN GREATER NY;05.07.2008;$1,000
AMERICAN RED CROSS IN GREATER NY;09.05.2008;$850
AMERICAN RED CROSS MILLBURN;7/23/2008;$200
AMERICAN RED CROSS OF CENTRAL;05.07.2008;$100
AMERICAN RED CROSS OF CENTRAL NEW JERSEY;06.10.2008;$50
AMERICAN RED CROSS OF GREATER CHICAGO;05.01.2008;$50
AMERICAN RED CROSS OF GREATER CHICAGO;7/23/2008;$50
AMERICAN RED CROSS-SHORT HILLS;02.04.2008;$100
AMERICAN RED CROSS-SHORT HILLS;09.05.2008;$150
AMERICAN RED MAGEN DAVID;3/17/2008;$200
AMERICAN SOCIETY FOR THE PREVENTATION OF;03.03.2008;$50
AMERICAN SOCIETY FOR THE PREVENTATION OF;3/17/2008;$100
AMERICAN SOCIETY FOR THE PREVENTATION OF;05.01.2008;$125
AMERICAN SOCIETY FOR THE PREVENTATION OF;07.02.2008;$100
AMERICAN SOCIETY FOR THE PREVENTATION OF;7/16/2008;$50
AMERICAN SOCIETY FOR THE PREVENTATION OF;7/16/2008;$250
AMERICAN SOCIETY FOR THE PREVENTATION OF;7/23/2008;$250
AMERICAN STROKE ASSOCIATION;02.04.2008;$50
AMERICAN STROKE ASSOCIATION;7/16/2008;$262
AMERICAN UNIVERSITY OF BEIRUT;3/17/2008;$250
AMERICAN WHITEWATER;4/25/2008;$100
AMERICANF;10.12.2007;$500
AMERICANS FOR UNFPA;05.07.2008;$500
AMERICARES FOUNDATION;12/19/2007;$250
AMERICARES FOUNDATION;06.10.2008;$1,000
AMEX,,AMERICAN CANCER;1/31/2008;$100
AMEXCORPOR - O'DONNELL DEIR;5/23/2008;$350
AMHERST COLLEGE;10.05.2007;$200
AMHERST COLLEGE;10/24/2007;$100
AMHERST COLLEGE;02.04.2008;$1,250
AMHERST COLLEGE;09.05.2008;$500
AMIGOS DE JESUS;06.10.2008;$300
AMIGOS TOGETHER FOR KIDS;02.06.2008;$3,500
AMINO SOUTH LOS ANGELES CHARTER HS;3/17/2008;$200
AMNESTY INTERNATIONAL;05.07.2008;$500
AMNESTY INTERNATIONAL;06.10.2008;$100
ANANSE SHIELD GROUP INC;5/20/2008;$2,000
ANGELA HOUSE;07.02.2008;$250
ANIMAL HAVEN;12/19/2007;$50
ANIMAL HAVEN;02.04.2008;$50
ANIMAL HUMANE SOCIETY;12/19/2007;$1,002
ANIMAL HUMANE SOCIETY;4/25/2008;$200
ANIMAL HUMANE SOCIETY;05.07.2008;$100
ANN ARBOR PUBLIC SCHOOLS EDUCATIONAL;03.03.2008;$250
ANTI DEFAMATION LEAGUE;05.01.2008;$2,000
ANY BABY CAN;3/17/2008;$200
APPALACHIAN COMMUNITY FUND INC;4/25/2008;$250
APPALACHIAN COMMUNITY FUND INC;5/19/2008;$100
ARBOR HOSPICE FOUNDATION;11.07.2007;$100
ARCADIA UNIVERSITY;9/21/2007;$125
ARCHBISHOP MOLLOY HIGH SCHOOL;7/16/2008;$100
ARIZONA COMMUNITY FOUNDATION;12/19/2007;$1,000
ARIZONA STATE UNIVERSITY FOUNDATION;07.02.2008;$250
ARMENIA TREE PROJECT;12/13/2007;$2,000
ARMENIA TREE PROJECT;05.01.2008;$2,000
ARTDOMANTA;10.10.2007;$845
ARTEX;9/25/2007;$1,468
ARTEX;9/27/2007;$227
ARTEX;9/28/2007;$1,468
ARTEX;11/13/2007;$585
ARTEX;05.09.2008;$723
ARTHRITIS FOUNDATION;10.12.2007;$8,765
ARTHRITIS FOUNDATION;11.06.2007;$1,980
ARTHRITIS FOUNDATION;12/19/2007;$1,950
ARTHRITIS FOUNDATION;12/19/2007;$2,750
ARTHRITIS FOUNDATION;02.04.2008;$300
ARTHRITIS FOUNDATION;05.07.2008;$250
ARTHRITIS FOUNDATION;7/16/2008;$50
ARTHRITIS FOUNDATION;09.05.2008;$100
ASCENT LEADING MULTICULTURAL WOMEN;05.05.2008;$26,500
ASHA FOR EDUCATION;10/24/2007;$1,451
ASHA FOR EDUCATION;11/15/2007;$50
ASHA FOR EDUCATION;12/19/2007;$100
ASHA FOR EDUCATION;02.04.2008;$50
ASHA FOR EDUCATION;05.01.2008;$855
ASIA SOCIETY;02.04.2008;$500
ASIAN AMERICAN CHILDREN & FAMILIES;03.03.2008;$150
ASIAN AMERICAN CHILDREN & FAMILIES;4/25/2008;$100
ASIAN WOMEN IN BUSINESS;10.04.2007;$15,000
ASIANS & PACIFIC AMERICANS IN;6/17/2008;$1,000
ASSOCIATED PARENT CLUBS OF PIEDMONT;02.04.2008;$1,000
ASSOCIATION OF FORMER STUDENTS;3/17/2008;$500
ASSOCIATION OF FORMER STUDENTS;05.01.2008;$500
ASSOCIATION OF FUNDRAISING PROFESSIONALS;10/24/2007;$250
ASSOCIATION OF GRADUATES;10/24/2007;$360
ASSOCIATION OF GRADUATES;11/15/2007;$250
ASSOCIATION OF GRADUATES;7/16/2008;$300
ASTRAL ARTISTIC SERVICES;12/19/2007;$1,000
ATELIER 4 INC.;2/19/2008;$672
AUBURN UNIVERSITY FOUNDATION;7/23/2008;$1,500
AUSTIN SUNSHINE CAMP;3/17/2008;$250
AUTISM SPEAKS;10/16/2007;$1,350
AUTISM SPEAKS;10/24/2007;$250
AUTISM SPEAKS;11/15/2007;$250
AUTISM SPEAKS;12/19/2007;$300
AUTISM SPEAKS;02.04.2008;$1,400
AUTISM SPEAKS;05.07.2008;$250
AUTISM SPEAKS;7/16/2008;$300
AUTISM SPEAKS;7/23/2008;$100
AUTISM SPEAKS;7/23/2008;$200
AUTISM SPEAKS;7/23/2008;$900
AUTISM SPEAKS;09.05.2008;$50
AUTISM SPEAKS;09.05.2008;$250
AVON PRODUCTS FDN;10.05.2007;$753
AVON PRODUCTS FDN;10/24/2007;$150
AVON PRODUCTS FDN;11/15/2007;$1,220
AVON PRODUCTS FDN;12/19/2007;$650
AVON PRODUCTS FDN;02.04.2008;$1,320
AVON PRODUCTS FDN;05.01.2008;$50
AVON PRODUCTS FDN;06.10.2008;$50
AVON PRODUCTS FDN;7/16/2008;$470
AVON PRODUCTS FDN;7/23/2008;$1,150
AVON PRODUCTS FDN;09.05.2008;$550
AWARD OF COURAGE CORPORATION                       ;6/17/2008;$15,000
AWTY INTERNATIONAL SCHOOL;11/15/2007;$1,000
AYALA FOUNDATION;4/25/2008;$1,275
AYALA FOUNDATION;5/19/2008;$100
AYALA FOUNDATION;09.05.2008;$500
BABSON COLLEGE;10.05.2007;$1,100
BACHMANN-STRAUSS DYSTONIA AND;10.05.2007;$1,000
BALL STATE UNIVERSITY FOUNDATION;06.10.2008;$2,000
BALLET FLORIDA;07.02.2008;$500
BALLET TECH FOUNDATION;05.01.2008;$100
BALLET THEATRE FOUNDATION;12/19/2007;$500
BALLET THEATRE FOUNDATION;09.05.2008;$2,000
BAPTIST HOME INC;05.01.2008;$100
BARNARD COLLEGE;10.05.2007;$500
BARNARD COLLEGE;01.08.2008;$50,000
BARUCH COLLEGE FUND                      ;11/15/2007;$150
BARUCH COLLEGE FUND                      ;02.04.2008;$550
BARUCH COLLEGE FUND                      ;05.01.2008;$150
BARUCH COLLEGE FUND                      ;05.07.2008;$250
BARUCH COLLEGE FUND                      ;6/20/2008;$2,000
BARUCH COLLEGE FUND                      ;7/16/2008;$350
BARUCH COLLEGE FUND                      ;09.05.2008;$500
BATES COLLEGE;10.05.2007;$1,355
BATES COLLEGE;09.05.2008;$250
BATTERY CONSERVANCY;12/19/2007;$250
BATTERY CONSERVANCY;05.01.2008;$250
BAYSTATE HEALTH FOUNDATION INC;02.04.2008;$250
BEACON SCHOOL PARENT ASSOCIATION;9/24/2007;$250
BEAR NECESSITIES PEDIATRIC;12/19/2007;$100
BEDFORD STUYVESANT RESTORATION CORP;10.05.2007;$960
BEDFORD STUYVESANT RESTORATION CORP;11/30/2007;$1,250
BEDFORD STUYVESANT RESTORATION CORP;12/14/2007;$1,250
BELLARMINE PREPARATORY SCHOOL;02.04.2008;$200
BELMONT HILL SCHOOL;10/24/2007;$1,250
BELMONT HILL SCHOOL;05.01.2008;$250
BENET ACADEMY;12.04.2007;$1,000
BENET ACADEMY;06.10.2008;$1,000
BERGEN CATHOLIC HIGH SCHOOL;5/20/2008;$2,000
BERKELEY CARROLL STREET SCHOOL;02.04.2008;$2,000
BERKELEY CARROLL STREET SCHOOL;06.10.2008;$500
BERKSHIRE SCHOOL;06.10.2008;$100
BEST BUDDIES INTERNATIONAL INC;12.04.2007;$50
BEST BUDDIES INTERNATIONAL INC;01.11.2008;$200
BEST BUDDIES INTERNATIONAL INC;1/15/2008;$75
BEST FRIENDS ANIMAL SANCTUARY;11/15/2007;$100
BEST FRIENDS ANIMAL SANCTUARY;12/19/2007;$150
BEST FRIENDS ANIMAL SANCTUARY;02.04.2008;$249
BEST FRIENDS ANIMAL SANCTUARY;05.07.2008;$50
BEST FRIENDS ANIMAL SANCTUARY;06.10.2008;$500
BEST FRIENDS ANIMAL SANCTUARY;7/23/2008;$550
BETH MEDRASH GOVOHA OF LAKEWOOD INC;4/25/2008;$200
BETHEL UNIVERSITY;05.07.2008;$500
BICENTENNIAL CAMPAIGN ARCHDIOCESE OF NY;9/21/2007;$300
BIG BROTHERS BIG SISTERS;09.05.2008;$150
BIG BROTHERS BIG SISTERS OF SANGAMON;10.05.2007;$2,000
BIG HEARTS TO LITTLE HEARTS;9/24/2007;$450
BISHOP KELLEY HIGH SCHOOL;07.02.2008;$2,000
BISHOP LYNCH HIGH SCHOOL;05.07.2008;$1,000
BLAKE SCHOOL;05.07.2008;$1,250
BLESSED SACRAMENT ST GABRIEL HS;4/25/2008;$2,000
BLOOMINGDALE SCHOOL OF MUSIC INC;02.04.2008;$1,000
BLYTHEDALE CHILDREN'S HOSPITAL;05.01.2008;$2,000
BOARD ASSIST;7/30/2008;$10,000
BONEI OLAM INC.;11/15/2007;$1,000
BONEI OLAM INC.;05.07.2008;$500
BOROUGH PREGNANCY COUNSELING CENTER;12.04.2007;$600
BOSTON COLLEGE;10.05.2007;$100
BOSTON COLLEGE;12/19/2007;$450
BOSTON COLLEGE;05.01.2008;$500
BOSTON COLLEGE;05.07.2008;$250
BOSTON COLLEGE;06.10.2008;$200
BOSTON COLLEGE;7/16/2008;$100
BOSTON COLLEGE;7/23/2008;$1,000
BOSTON COLLEGE;09.05.2008;$300
BOSTON COLLEGE HIGH SCHOOL;06.10.2008;$2,000
BOSTON GLOBE FOUNDATION;08.06.2008;$200
BOSTON RESCUE MISSION;3/17/2008;$502
BOSTON RONALD MCDONALD HOUSE;10.05.2007;$100
BOSTON RONALD MCDONALD HOUSE;10/24/2007;$3,211
BOSTON RONALD MCDONALD HOUSE;11/15/2007;$775
BOSTON RONALD MCDONALD HOUSE;09.05.2008;$100
BOSTON SYMPHONY ORCHESTRA;12/19/2007;$650
BOSTON UNIVERSITY;02.04.2008;$200
BOSTON UNIVERSITY;7/23/2008;$50
BOTTOMLINE;07.02.2008;$400
BOTTOMLINE;7/16/2008;$50
BOTTOMLINE;7/23/2008;$425
BOTTOMLINE;09.05.2008;$478
BOWDOIN COLLEGE;10.05.2007;$200
BOWDOIN COLLEGE;10/24/2007;$500
BOWDOIN COLLEGE;08.06.2008;$500
BOY SCOUTS OF AMERICA;1/22/2008;$170
BOY SCOUTS OF AMERICA MONMOUTH;7/16/2008;$148
BOYS AND GIRLS HARBOR INC.;09.05.2008;$500
BOYS CLUB OF NEW YORK;05.01.2008;$100
BOYS TOWN OF ITALY;10.05.2007;$100
BOYS TOWN OF ITALY;12/19/2007;$350
BOYS TOWN OF ITALY;02.04.2008;$50
BRAIN TUMOR FOUNDATION;12/19/2007;$175
BRAIN TUMOR FOUNDATION FOR CHILDREN;03.03.2008;$400
BRAIN TUMOR SOCIETY;10.05.2007;$400
BRANDEIS UNIVERSITY;10/24/2007;$2,000
BRANDEIS UNIVERSITY;06.10.2008;$250
BREAK THE CYCLE;07.02.2008;$100
BREARLEY SCHOOL;02.04.2008;$50
BREARLEY SCHOOL;05.01.2008;$1,000
BREARLEY SCHOOL;5/23/2008;$2,000
BREUKELEIN INSTITUTE;10/24/2007;$2,000
BRIDGE ACADEMY INC;05.01.2008;$100
BRIDGEPORT RESCUE MISSION;10/24/2007;$50
BRIDGEPORT RESCUE MISSION;5/20/2008;$50
BRIDGES TO COMMUNITY;4/25/2008;$2,000
BRIGHAM AND WOMEN'S HOSPITAL;11/15/2007;$250
BRIGHAM YOUNG UNIVERSITY;5/20/2008;$50
BRIGHAM YOUNG UNIVERSITY;06.10.2008;$2,000
BRIS AVROHOM;12/19/2007;$250
BRIS AVROHOM;01.10.2008;$750
BRITISH SCHOOLS AND UNIVERSITIES;06.10.2008;$1,750
BRODSKY CENTER FOR INNOVATIVE EDITIONS;2/28/2008;$200
BRONXVILLE SCHOOL FOUNDATION;05.01.2008;$250
BRONXVILLE SCHOOL FOUNDATION;09.05.2008;$100
BROOKLYN ACADEMY OF MUSIC INC;10.05.2007;$120
BROOKLYN BOTANIC GARDEN;10.05.2007;$2,045
BROOKLYN BOTANIC GARDEN;7/23/2008;$2,000
BROOKLYN CONSERVATORY OF MUSIC;03.03.2008;$2,000
BROOKLYN HEIGHTS MONTESSORI SCHOOL;10.05.2007;$2,000
BROOKLYN HEIGHTS MONTESSORI SCHOOL;02.04.2008;$1,000
BROOKLYN HEIGHTS MONTESSORI SCHOOL;09.05.2008;$2,000
BROOKLYN PUBLIC LIBRARY;11/15/2007;$400
BROOKS SCHOOL;02.04.2008;$1,500
BROOKS SCHOOL;09.05.2008;$2,000
BROWN UNIVERSITY;10.05.2007;$2,550
BROWN UNIVERSITY;10/24/2007;$250
BROWN UNIVERSITY;11/15/2007;$2,000
BROWN UNIVERSITY;02.04.2008;$50
BROWN UNIVERSITY;05.01.2008;$200
BROWN UNIVERSITY;05.07.2008;$6,100
BROWN UNIVERSITY;06.10.2008;$150
BROWN UNIVERSITY;7/16/2008;$1,000
BROWN UNIVERSITY;09.05.2008;$2,001
BRUNSWICK SCHOOL;07.02.2008;$1,000
BRYN MAWR SCHOOL;02.04.2008;$538
BRYN MAWR SCHOOL;05.01.2008;$1,500
BUCKINGHAM BROWNE AND NICHOLS SCHOOL;06.10.2008;$2,000
BUCKLEY SCHOOL;05.01.2008;$2,000
BUCKLEY SCHOOL IN THE CITY OF NEW YORK;10.05.2007;$750
BUCKLEY SCHOOL IN THE CITY OF NEW YORK;05.01.2008;$2,000
BUCKLEY SCHOOL IN THE CITY OF NEW YORK;05.07.2008;$2,250
BUCKLEY SCHOOL IN THE CITY OF NEW YORK;09.05.2008;$1,000
BUCKNELL UNIVERSITY;10.05.2007;$1,250
BUCKNELL UNIVERSITY;02.04.2008;$1,575
BUCKNELL UNIVERSITY;05.01.2008;$500
BUCKNELL UNIVERSITY;05.07.2008;$450
BUCKNELL UNIVERSITY;06.10.2008;$700
BUCKNELL UNIVERSITY;09.05.2008;$2,250
BUILDING WITH BOOKS;7/16/2008;$15,825
BUILDING WITH BOOKS;7/23/2008;$1,500
BULLDOGSCA;12/19/2007;$100
BURGUNDY FARM COUNTRY DAY SCHOOL;08.01.2008;$2,000
BURN INSTITUTE;4/25/2008;$1,000
C3 MISSIONS INTERNATIONAL;07.02.2008;$500
CAIR FOUNDATION INC;03.03.2008;$200
CALHOUN SCHOOL;06.10.2008;$200
CALLEN-LORDE COMMUNITY HEALTH CENTER;06.10.2008;$1,000
CAMP DUDLEY YMCA;02.04.2008;$250
CAMP DUDLEY YMCA;05.07.2008;$100
CAMP DUDLEY YMCA;06.10.2008;$1,000
CAMP PASQUANEY;4/25/2008;$150
CAMP RAMAH IN WISCONSIN;02.04.2008;$2,000
CAMP SUNSHINE;10.05.2007;$500
CAMP TWIN LAKES;02.04.2008;$250
CAMPAIGN FOR FEMALE EDUCATION;3/17/2008;$200
CANCER CARE INC.;05.07.2008;$150
CANCER CARE INC.;7/23/2008;$150
CANCER RESEARCH FOR CHILDREN;3/17/2008;$1,113
CANCER RESEARCH INSTITUTE INC;4/25/2008;$150
CARE;10.05.2007;$50
CARE;05.01.2008;$2,000
CARE;7/23/2008;$50
CARITAS ST ELIZABETH'S MEDICAL CENTER;9/21/2007;$3,000
CARLISLE FAMILY YMCA;7/23/2008;$2,150
CARLISLE FAMILY YMCA;09.05.2008;$150
CARNEGIE COUNCIL;4/25/2008;$300
CARNEGIE COUNCIL;7/23/2008;$500
